Number,Crime,Address,Time,url
12-281425,Bicycle Stop,8th St / K St,1020,pages/view.aspx?publish_date=20121012
12-282014,Subject Stop,1300 block of 30th Street,2227,pages/view.aspx?publish_date=20121012
12-282121,Burglary,4800 block of Power Inn Rd,158,pages/view.aspx?publish_date=20121012
12-282157,Robbery,3700 block of 25th Ave,357,pages/view.aspx?publish_date=20121012
12-281992,Search,2900 block of 26th Ave,2201,pages/view.aspx?publish_date=20121012
12-282078,Suspicious Occupied Vehicle,Collingwood St / Kirk Way,23,pages/view.aspx?publish_date=20121012
12-281667,Shooting,2900 block of South Meadows Place,1507,pages/view.aspx?publish_date=20121012
12-281730,Assault,2700 block of Gardendale Road,1629,pages/view.aspx?publish_date=20121012
12-281781,Kidnapping,5500 block of Mack Rd,1712,pages/view.aspx?publish_date=20121012
12-281907,Arrest,200 block of Majorca Cir,1954,pages/view.aspx?publish_date=20121012
12-282202,Vehicle Pursuit,Marconi Ave / Heron Way,706,pages/view.aspx?publish_date=20121013
12-282341,Attempted Burglary,3600 Block of Manera Rica Dr,1117,pages/view.aspx?publish_date=20121013
12-282619,Dead Body,1500 block of Auburn Blvd,1649,pages/view.aspx?publish_date=20121013
12-282791,Suspicious Circumstance,1000 block of South Ave,2007,pages/view.aspx?publish_date=20121013
12-282764,False Reports of an Emergency,4000 block of Norwood,1932,pages/view.aspx?publish_date=20121013
12-282734,Subject Stop,7th St / L St,1854,pages/view.aspx?publish_date=20121013
12-282482,Robbery,3300 block of Martin Luther King Jr Blvd,1426,pages/view.aspx?publish_date=20121013
12-282461,Suspicious Occupied Vehicle,600 block of T St.,1405,pages/view.aspx?publish_date=20121013
12-282428,Theft,800 block of K Street,1326,pages/view.aspx?publish_date=20121013
12-282735,Arrest,900 block of 12th St,1855,pages/view.aspx?publish_date=20121013
12-282842,Arrest,1200 block of North B St,2113,pages/view.aspx?publish_date=20121013
12-282255,Search,4000 block of 60th Street,908,pages/view.aspx?publish_date=20121013
12-282235,Subject Stop,51st St / San Francisco Blvd,833,pages/view.aspx?publish_date=20121013
12-283092,Burglary,700 block of 20th St,221,pages/view.aspx?publish_date=20121013
12-283096,Attempted Robbery,1400 block of G Street,226,pages/view.aspx?publish_date=20121013
12-282171,Burglary,100 block of Fountain Oaks Cir,511,pages/view.aspx?publish_date=20121013
12-282509,Medical Aid,600 block of Clipper Way,1506,pages/view.aspx?publish_date=20121013
12-282288,Suspicious Circumstance,Perkins Way / Riverside Boulevard,959,pages/view.aspx?publish_date=20121013
12-282945,Missing Person,8000 block of Kingsdale Way,2301,pages/view.aspx?publish_date=20121013
12-282543,Traffic Stop,2800 block of 17th Street,1546,pages/view.aspx?publish_date=20121013
12-283542,Robbery,2200 block of F St,1728,pages/view.aspx?publish_date=20121014
12-283615,Burglary,200 block of Jibboom St,1835,pages/view.aspx?publish_date=20121014
12-283450,Welfare Check,5700 block of 7th Ave,1528,pages/view.aspx?publish_date=20121014
12-283574,Robbery,5800 block of Stockton Blvd,1803,pages/view.aspx?publish_date=20121014
12-283883,Disturbance,7000 block of Folsom Blvd,2306,pages/view.aspx?publish_date=20121014
12-283275,Stolen Property,5900 block of Ortega St,1120,pages/view.aspx?publish_date=20121014
12-283262,Traffic Accident,Meadowview Rd / Amherst St,1110,pages/view.aspx?publish_date=20121014
12-283285,Medical Aid,6800 block of Wyndham Dr,1137,pages/view.aspx?publish_date=20121014
12-283740,Suspicious Circumstance,2400 block of  Wilmington Ave,2048,pages/view.aspx?publish_date=20121014
12-283706,Domestic Disturbance,7300 block of  Putnam Way,2019,pages/view.aspx?publish_date=20121014
12-283476,Traffic Stop,Harold Way / Fruitridge Rd,1605,pages/view.aspx?publish_date=20121014
12-283877,Traffic Stop,Eddington Way / Ehrhardt Ave,2254,pages/view.aspx?publish_date=20121014
12-284857,Robbery,Marysville Blvd / Arcade Blvd,219,pages/view.aspx?publish_date=20121015
12-284851,Subject Stop,Marysville Blvd / Arcade Blvd,201,pages/view.aspx?publish_date=20121015
12-284296,Disturbance,2400 block of J St,1237,pages/view.aspx?publish_date=20121015
12-284226,Subject Stop,15th St / P St,1040,pages/view.aspx?publish_date=20121015
12-284331,Assault,500 block of Bercut Dr,1339,pages/view.aspx?publish_date=20121015
12-284174,Theft,2100 block of Front St,845,pages/view.aspx?publish_date=20121015
12-284414,Assault,M St / 54th St,1545,pages/view.aspx?publish_date=20121015
12-284590,Assault,3700 block of T St,1927,pages/view.aspx?publish_date=20121015
12-284543,Bicycle Stop,3600 block of J St,1830,pages/view.aspx?publish_date=20121015
12-284454,Subject Stop,3900 block of 35th St,1640,pages/view.aspx?publish_date=20121015
12-284297,Sex Assault Report,Franklin Blvd/Creeks Edge Way,1244,pages/view.aspx?publish_date=20121015
12-284448,Suspicious Circumstance,8500 block of Bruceville Rd,1632,pages/view.aspx?publish_date=20121015
12-284492,Traffic Stop,100 block of Brentford Cir,1721,pages/view.aspx?publish_date=20121015
12-284611,DUI,100 block of Decathlon Cir,1948,pages/view.aspx?publish_date=20121015
12-284648,DUI,7000 block of Wyndham Dr,2037,pages/view.aspx?publish_date=20121015
12-284809,Missing Person,3300 block of Pony Express Dr,52,pages/view.aspx?publish_date=20121016
12-284883,Shooting,200 block of Battlecreek Cir,532,pages/view.aspx?publish_date=20121016
12-284965,Suspicious Subject,1300 block of Nighthawk Way,903,pages/view.aspx?publish_date=20121016
12-285399,Disturbance,500 block of Leisure Ln,1855,pages/view.aspx?publish_date=20121016
12-285405,Sex Assault Report,3rd St/ T St,1859,pages/view.aspx?publish_date=20121016
12-285364,Shooting,7800 block of  Othel Way,1804,pages/view.aspx?publish_date=20121016
12-285256,Suspicious Subject,6600 block of  Camp Verde Way,1555,pages/view.aspx?publish_date=20121016
12-285655,Traffic Stop,Fruitridge Rd / Martin Luther King Jr Blvd,204,pages/view.aspx?publish_date=20121016
12-284788,Attempt Pick-Up,1300 block of Manzano Way,17,pages/view.aspx?publish_date=20121016
12-284812,Suspicious Circumstance,1100 block of 7th Ave,59,pages/view.aspx?publish_date=20121016
12-284791,Suspicious Circumstance,7000 block of S Land Park Dr,17,pages/view.aspx?publish_date=20121016
12-284614,Robbery,Franklin/Valley Hi,1951,pages/view.aspx?publish_date=20121016
12-285200,Robbery,21st St / Florin Rd,1435,pages/view.aspx?publish_date=20121016
12-285558,Traffic Stop,Freeport Blvd / 21st St,2252,pages/view.aspx?publish_date=20121016
12-285751,Arrest,3300 block of Duckhorn Dr.,825,pages/view.aspx?publish_date=20121017
12-285897,Suspicious Circumstance,2200 block of Endeavor Way,1157,pages/view.aspx?publish_date=20121017
12-286201,Robbery,2300 block of Oak Harbor Drive,1755,pages/view.aspx?publish_date=20121017
12-286233,Suspicious Person,300 block of Bowman Ave,1843,pages/view.aspx?publish_date=20121017
12-286382,Suspicious Person,3300 block of Witter Way,2208,pages/view.aspx?publish_date=20121017
12-283542,Theft,2200 block of F St,1728,pages/view.aspx?publish_date=20121017
12-285699,Vehicle Collision,Us 50 Wb / Stockton Blvd,656,pages/view.aspx?publish_date=20121017
12-286203,Welfare Check,4400 block of U Street,1800,pages/view.aspx?publish_date=20121017
12-286283,Missing Person,4000 block of Y St,2000,pages/view.aspx?publish_date=20121017
12-286013,Traffic Stop,Stockton Blvd / Fruitridge Road,1444,pages/view.aspx?publish_date=20121017
12-286092,Traffic Stop,Fruitridge Rd / Mendocino Blvd,1553,pages/view.aspx?publish_date=20121017
12-285830,Burglary,5500 block of Franklin Blvd,1023,pages/view.aspx?publish_date=20121017
12-285814,Sexual Assault,6500 block of Wyndham Drive,1011,pages/view.aspx?publish_date=20121017
12-286204,Subject Stop,21st St / Florin Rd,1800,pages/view.aspx?publish_date=20121017
12-286195,Robbery,8100 block of Center Parkway,1751,pages/view.aspx?publish_date=20121017
12-286076,Vandalism,1400 block of Broadway,1539,pages/view.aspx?publish_date=20121017
12-286389,Traffic Stop,Franklin Blvd / Shining Star Dr,2216,pages/view.aspx?publish_date=20121017
12-286508,Pursuit,Golden Field Way / Valley Hi Drive,153,pages/view.aspx?publish_date=20121017
12-286626,Robbery,1500 block of River Park Dr,913,pages/view.aspx?publish_date=20121018
12-286874,Welfare Check,2400 block of Seamist Dr,1428,pages/view.aspx?publish_date=20121018
12-287206,Robbery,2400 block of Rio Linda Blvd,2036,pages/view.aspx?publish_date=20121018
12-286950,Robbery,1700 block of Del Paso Blvd,1539,pages/view.aspx?publish_date=20121018
12-287229,Assault,1500 block of W El Camino Ave,2113,pages/view.aspx?publish_date=20121018
12-286955,Suspicious Device,3000 block of Advantage Way,1542,pages/view.aspx?publish_date=20121018
12-286750,Sex Assault Report,51st Street/F Street,1203,pages/view.aspx?publish_date=20121018
12-286782,Subject Stop,7th St / J St,1250,pages/view.aspx?publish_date=20121018
12-287102,Subject Stop,2nd St / I St,1809,pages/view.aspx?publish_date=20121018
12-287091,DUI,6900 block of Power Inn Rd,1757,pages/view.aspx?publish_date=20121018
12-287100,Suspicious Subject,5600 block of Stockton Blvd,1807,pages/view.aspx?publish_date=20121018
12-287223,Child Abuse,8400 block of Citadel Way,2105,pages/view.aspx?publish_date=20121018
12-287405,Missing Person,1100 block of C St,152,pages/view.aspx?publish_date=20121018
12-287028,Assault,3000 block of U St,1649,pages/view.aspx?publish_date=20121018
12-286584,Burglary,100 block of Blue Water Cir,732,pages/view.aspx?publish_date=20121018
12-286643,Domestic Disturbance,7900 block of Arroyo Vista Dr,933,pages/view.aspx?publish_date=20121018
12-286939,Burglary,700 block of Mcclatchy Way,1528,pages/view.aspx?publish_date=20121018
12-286925,Burglary,6800 block of Golf View Dr,1516,pages/view.aspx?publish_date=20121018
12-287173,Disturbance,3000 block of Florin Rd,1938,pages/view.aspx?publish_date=20121018
12-286971,Suspicious Occupied Vehicle,Rightwood Way / Carlin Ave,1558,pages/view.aspx?publish_date=20121018
12-288161,Robbery,4200 block of Norwood Ave,2120,pages/view.aspx?publish_date=20121019
12-288118,Subject Stop,2500 block of Traction,2028,pages/view.aspx?publish_date=20121019
12-287871,Search,1400 block of Stephanie Ave,1551,pages/view.aspx?publish_date=20121019
12-288158,Suspicious Person,2400 block of Empress St,2118,pages/view.aspx?publish_date=20121019
12-288054,Assault,100 block of Redondo Ave,1908,pages/view.aspx?publish_date=20121019
12-287994,Burglary,5600 block of Overleaf Way,1755,pages/view.aspx?publish_date=20121019
12-288320,Vehicle Stop,Rio Linda Blvd / Arcade Blvd,209,pages/view.aspx?publish_date=20121019
12-288299,Missing Person,1000 block of South Ave,139,pages/view.aspx?publish_date=20121019
12-288291,Robbery,200 block of Jibboom St,128,pages/view.aspx?publish_date=20121019
12-288305,Shooting,12th St / K St,146,pages/view.aspx?publish_date=20121019
12-287801,Missing Person,1400 30th Street,1441,pages/view.aspx?publish_date=20121019
12-288157,Traffic Stop,4400 block of Broadway,2117,pages/view.aspx?publish_date=20121019
12-287811,Search,30 block of Thatcher Cr,1448,pages/view.aspx?publish_date=20121019
12-287980,Stolen Vehicle,2100 block of Mangrum Ave,1737,pages/view.aspx?publish_date=20121019
12-288074,Welfare Check,La Fresa Ct / La Pera Ct,1927,pages/view.aspx?publish_date=20121019
12-288259,Robbery,6100 block of Seyferth Way,18,pages/view.aspx?publish_date=20121019
12-288372,Robbery,Roanoke Ave/Belden St,719,pages/view.aspx?publish_date=20121020
12-289220,12-289220,2700 block of Branch Street,107,pages/view.aspx?publish_date=20121020
12-289215,Theft,4200 block of Balsam Street,58,pages/view.aspx?publish_date=20121020
12-289274,Vehicle Accident,1100 block of Exposition Blvd,236,pages/view.aspx?publish_date=20121020
12-289275,Attempted Burglary,100 block of Morrison Ave,234,pages/view.aspx?publish_date=20121020
12-289216,Shooting,100 block of Agoura Ct.,100,pages/view.aspx?publish_date=20121020
12-249248,Arrest,3200 block of Truxel Rd,112,pages/view.aspx?publish_date=20121020
12-288923,Burglary,100 block of Commerce Cir,1931,pages/view.aspx?publish_date=20121020
12-289013,Suspicious Person,Norwood Ave / El Camino Ave,2113,pages/view.aspx?publish_date=20121020
12-288506,Hit and Run,5000 block of Stockton Blvd,1054,pages/view.aspx?publish_date=20121020
12-288468,Medical Aid,200 block of Bicentennial Cir,1007,pages/view.aspx?publish_date=20121020
12-288653,Combative Subject,2000 block of 21st Street,1437,pages/view.aspx?publish_date=20121020
12-288594,Theft,17th St / D St,1303,pages/view.aspx?publish_date=20121020
12-288875,Robbery,2100 block of S Street,1833,pages/view.aspx?publish_date=20121020
12-288839,Subject Stop,7000 Block of Mesa Grande Ct,1802,pages/view.aspx?publish_date=20121020
12-288986,Arrest,4000 block of Martin Luther King Jr. Blvd,2032,pages/view.aspx?publish_date=20121020
12-288932,Assault,3400 block of 44th Street,1937,pages/view.aspx?publish_date=20121020
12-289190,Assault,1000 block of 2nd St,25,pages/view.aspx?publish_date=20121020
12-289197,Subject Stop,Stockton Blvd / Lawrence Dr,35,pages/view.aspx?publish_date=20121020
12-289305,Subject Stop,14th Ave / 44th St,353,pages/view.aspx?publish_date=20121020
12-288758,Search,3100 block of 43rd Street,1641,pages/view.aspx?publish_date=20121020
12-288877,Missing Person,6800 block of 24th Street,1832,pages/view.aspx?publish_date=20121020
12-288993,Robbery,8200 Block of Timberlake Way,2039,pages/view.aspx?publish_date=20121020
12-288641,Suspicious Person,2500 block of 37th Ave,1419,pages/view.aspx?publish_date=20121020
12-289206,Robbery,5600 block of Freeport Blvd,46,pages/view.aspx?publish_date=20121020
12-289093,Bicycle Stop,Hogan Dr / 24th St,2241,pages/view.aspx?publish_date=20121020
12-289208,Bicycle Stop,Franklin Blvd / 21st Ave,50,pages/view.aspx?publish_date=20121020
12-289289,Stolen Vehicle,Franklin Blvd / Fruitridge Rd,300,pages/view.aspx?publish_date=20121020
12-289061,Subject Stop,Coral Gables Ct / Meadowview Rd,2215,pages/view.aspx?publish_date=20121020
12-289366,Robbery,1700 block of Cormorant Way,823,pages/view.aspx?publish_date=20121021
12-289760,Sex Assault Report,300 block of Peralta Ave,1745,pages/view.aspx?publish_date=20121021
12-290214,Subject Stop,W El Camino Ave / Northgate Blvd,142,pages/view.aspx?publish_date=20121021
12-290224,Suspicious Circumstance,2400 block of Del Paso Blvd,154,pages/view.aspx?publish_date=20121021
12-289352,Assault,34th/Broadway,748,pages/view.aspx?publish_date=20121021
12-289752,Assault,7700 block of 51st Ave,1737,pages/view.aspx?publish_date=20121021
12-289711,Suspicious Circumstance,21st Street/U Street,1654,pages/view.aspx?publish_date=20121021
12-289589,Brandishing,7700 block of Dixie Lou St,1429,pages/view.aspx?publish_date=20121021
12-289697,Suspicious Occupied Vehicle,7500 block of 24th St,1643,pages/view.aspx?publish_date=20121021
12-289772,Sex Assault Report,Gloria Dr / I-5,1758,pages/view.aspx?publish_date=20121021
12-289730,Robbery,7100 block of 24th St,1715,pages/view.aspx?publish_date=20121021
12-289756,Vehicle Accident,1400 block of 27th Ave,1741,pages/view.aspx?publish_date=20121021
12-289886,Subject Stop,28th St / X St,2023,pages/view.aspx?publish_date=20121021
12-290111,Assault,5100 block of Yvonne Way,2345,pages/view.aspx?publish_date=20121021
12-290325,Robbery,2200 block of River Plaza Dr,646,pages/view.aspx?publish_date=20121022
12-290557,Assault,3300 block of Norwood Ave,1546,pages/view.aspx?publish_date=20121022
12-284809,Burglary,4300 block of Norwood Ave,52,pages/view.aspx?publish_date=20121022
12-290430,Assault,35th St/1st Ave,1139,pages/view.aspx?publish_date=20121022
12-290772,Suspicious Subject,300  block of Dunbarton Cir,2059,pages/view.aspx?publish_date=20121022
12-290731,Kidnapping,2600 block of T St,1932,pages/view.aspx?publish_date=20121022
12-290565,Robbery,5600 block of Stockton Blvd,1558,pages/view.aspx?publish_date=20121022
12-290599,Robbery,5800 block of Stockton Blvd,1631,pages/view.aspx?publish_date=20121022
12-290454,Burglary,7900 block of Prairie Creek Way,1239,pages/view.aspx?publish_date=20121022
12-290495,Burglary,100 block of De Fer Cir,1354,pages/view.aspx?publish_date=20121022
12-290618,Attempt Pick-Up,1200 block of Beverly Way,1700,pages/view.aspx?publish_date=20121022
12-290681,Subject Stop,2400 block of Fruitridge Rd,1811,pages/view.aspx?publish_date=20121022
12-290872,Burglary,800 block of Skipper Cir,2331,pages/view.aspx?publish_date=20121022
12-290859,Traffic Stop,3200 block of Florin Rd,2310,pages/view.aspx?publish_date=20121022
12-291489,Arrest,2400 block of Rio Linda Boulevard,1755,pages/view.aspx?publish_date=20121023
12-291552,Robbery,3300 block of Northgate Boulevard,2008,pages/view.aspx?publish_date=20121023
12-291290,Outside Agency Assist,Harris Ave / Tate Street,1352,pages/view.aspx?publish_date=20121023
12-291424,Homicide,100 block of Emerald Creek Ct,1643,pages/view.aspx?publish_date=20121023
12-291477,Subject Stop,21st St / S St,1742,pages/view.aspx?publish_date=20121023
12-291532,Vehicle Stop,T St / 5th St,1910,pages/view.aspx?publish_date=20121023
12-291692,Medical Aid,200 block of Jibboom St,38,pages/view.aspx?publish_date=20121023
12-291349,Assault,6200 block of Ventura St,1513,pages/view.aspx?publish_date=20121023
12-291237,Burglary,2400 block of 43rd Ave,1254,pages/view.aspx?publish_date=20121023
12-291273,Attempt Burglary,2100 block of 56th Ave,1325,pages/view.aspx?publish_date=20121023
12-291673,Subject Stop,Stockton Blvd / Massie Ct,2351,pages/view.aspx?publish_date=20121023
12-291663,Suspicious Occupied Vehicle,N Meadows Pl / 29th St,2330,pages/view.aspx?publish_date=20121023
12-291675,Arrest,1400 block of 63rd Ave,2354,pages/view.aspx?publish_date=20121023
12-291690,Robbery,2300 block of Florin Rd,34,pages/view.aspx?publish_date=20121023
12-291745,Stolen Vehicle,34th Ave / Franklin Blvd,343,pages/view.aspx?publish_date=20121023
12-292172,Burglary,2200 block of L St,1649,pages/view.aspx?publish_date=20121024
12-292513,Burglary,4400 block of 54th St,358,pages/view.aspx?publish_date=20121024
12-291925,Burglary,3800 block of 42nd St,1102,pages/view.aspx?publish_date=20121024
12-291786,Assault,Caramay Way / Freeport Blvd,726,pages/view.aspx?publish_date=20121024
12-291851,Family Disturbance,1700 block of 71st Ave,927,pages/view.aspx?publish_date=20121024
12-291913,Robbery,3800 block of Florin Rd,1043,pages/view.aspx?publish_date=20121024
12-292396,Subject Stop,Mack Rd / Tangerine Ave,2254,pages/view.aspx?publish_date=20121024
12-292458,Subject Stop,Mack Rd / Alta Valley Dr,27,pages/view.aspx?publish_date=20121024
12-292482,Subject Stop,Florin Rd / Franklin Blvd,144,pages/view.aspx?publish_date=20121024
12-292493,Pursuit,Lytle St / 71st Ave,215,pages/view.aspx?publish_date=20121024
12-292512,Sexual Assault,6700 block of Frates Way,358,pages/view.aspx?publish_date=20121024
12-292518,Deceased Child,6600 Bruceville Rd,445,pages/view.aspx?publish_date=20121024
12-292560,Burglary,3940 Marysville Blvd,803,pages/view.aspx?publish_date=20121025
12-292954,Robbery,2900 block of Truxel Rd,1544,pages/view.aspx?publish_date=20121025
12-292994,Suspicious Circumstance,5200 block of Noyack Way,1622,pages/view.aspx?publish_date=20121025
12-292701,Assault,1000 block of Santiago Ave,1052,pages/view.aspx?publish_date=20121025
12-292694,Stabbing,6780 Pradera Mesa Dr,1049,pages/view.aspx?publish_date=20121025
12-292694,Stabbing,6700 block of Pradera Mesa Dr,1049,pages/view.aspx?publish_date=20121025
12-292593,Burglary,7300 block of Benbow St,854,pages/view.aspx?publish_date=20121025
12-292912,Suspicious Circumstance,3600 block of Riverside Blvd,1502,pages/view.aspx?publish_date=20121025
12-293754,Assault,4300 block of Norwood Ave,1535,pages/view.aspx?publish_date=20121026
12-294181,Robbery,100 block of Cathcart Ave,214,pages/view.aspx?publish_date=20121026
12-294212,Burglary,2500 block of West El Camino Ave,508,pages/view.aspx?publish_date=20121026
12-294214,Burglary,3700 block of Truxel Road,519,pages/view.aspx?publish_date=20121026
12-293728,Vehicle Pursuit,Florin Perkins Rd / Elder Creek Rd,1504,pages/view.aspx?publish_date=20121026
12-294034,Robbery,21st Street/W Street,2138,pages/view.aspx?publish_date=20121026
12-293808,Check Fraud,3000 block of Capital Ave,1636,pages/view.aspx?publish_date=20121026
12-294108,Stolen Vehicle,3800 block of Moddison Ave,2337,pages/view.aspx?publish_date=20121026
12-294115,Subject Stop,Alhambra Blvd / N St,2345,pages/view.aspx?publish_date=20121026
12-294156,Traffic Stop,3200 block of Julliard Dr,109,pages/view.aspx?publish_date=20121026
12-293843,Assault,6200 block of Sun River Dr.,1710,pages/view.aspx?publish_date=20121026
12-293631,Arrest,6600 block of South Land Park Dr,1310,pages/view.aspx?publish_date=20121026
12-293524,Suspicious Subject,6700 block of Golf View Dr,1049,pages/view.aspx?publish_date=20121026
12-293942,Check Fraud,5500 block of Franklin Blvd,1912,pages/view.aspx?publish_date=20121026
12-294020,DUI,Blair Ave / Belleau Wood Ln,2113,pages/view.aspx?publish_date=20121026
12-294206,Shots Fired,3100 block of 37th Ave,353,pages/view.aspx?publish_date=20121026
12-294835,Assault,Natomas Blvd / Del Paso Rd,1908,pages/view.aspx?publish_date=20121027
12-295263,Pursuit,Duckhorn Dr / Myotis Dr,118,pages/view.aspx?publish_date=20121027
12-294687,Suspicious Person,11th St / Q St,1642,pages/view.aspx?publish_date=20121027
12-295255,Outside Agency Assist,30th Street / L Street,109,pages/view.aspx?publish_date=20121027
12-294869,211T,6100 block of Mack Road,1943,pages/view.aspx?publish_date=20121027
12-294870,Robbery,6100 block of Mack Rd,1946,pages/view.aspx?publish_date=20121027
12-294295,DUI,7400 block of Pocket Rd,834,pages/view.aspx?publish_date=20121027
12-294506,DUI,24th St / Florin Rd,1326,pages/view.aspx?publish_date=20121027
12-294420,Arrest,7800  block of   Cedar Springs Way,1128,pages/view.aspx?publish_date=20121027
12-294796,Arrest,6600 block of Valley Hi Dr,1828,pages/view.aspx?publish_date=20121027
12-294886,Prowler,100 block of Mountainwood Ct,2001,pages/view.aspx?publish_date=20121027
12-294679,Stolen Vehicle,2800 block of Broadway,1634,pages/view.aspx?publish_date=20121027
12-294660,Suspicious Vehicle,Florin Rd / S Land Park Dr,1609,pages/view.aspx?publish_date=20121027
12-295018,Search,2300 block of 24th Ave,2202,pages/view.aspx?publish_date=20121027
12-295090,Vehicle Stop,Meadowview Rd / Detroit Blvd,2250,pages/view.aspx?publish_date=20121027
12-295332,Bicycle Stop,5100 block of Camino Royale Dr,252,pages/view.aspx?publish_date=20121027
12-296235,Traffic Stop,Altos Ave / Las Palmas Ave,2351,pages/view.aspx?publish_date=20121028
12-296481,Sex Assault Report,1000 block of Guava Way,507,pages/view.aspx?publish_date=20121028
12-295521,Robbery,700 block of Pinedale Dr,1048,pages/view.aspx?publish_date=20121028
12-296475,Vandalism,3000 block of J St,446,pages/view.aspx?publish_date=20121028
12-296081,Subject Stop,9th St / K St,2155,pages/view.aspx?publish_date=20121028
12-295726,Suspicious Circumstance,2900 block of 39th St,1555,pages/view.aspx?publish_date=20121028
12-295933,Assault,7800 block of 32nd Ave,1933,pages/view.aspx?publish_date=20121028
12-296254,Subject Stop,Broadway / San Jose Way,6,pages/view.aspx?publish_date=20121028
12-296381,Assault,Stockton/ Fruitridge,207,pages/view.aspx?publish_date=20121028
12-295862,Subject Stop,24th St / Fruitridge Rd,1800,pages/view.aspx?publish_date=20121028
12-295731,Subject Stop,Meadowview Rd / Amherst St,1603,pages/view.aspx?publish_date=20121028
12-295945,Assault,7700 block of Franklin,1947,pages/view.aspx?publish_date=20121028
12-295840,Traffic Accident,Florin Rd / Amherst St,1743,pages/view.aspx?publish_date=20121028
12-296444,DUI,2400 block of 52nd Ave,350,pages/view.aspx?publish_date=20121028
12-296088,Traffic Stop,43rd Ave / I 5 Sb,2203,pages/view.aspx?publish_date=20121028
12-296019,Burglary,7400 block of Windbridge Dr,2056,pages/view.aspx?publish_date=20121028
12-296554,Assault,3700 block of Northgate Blvd,852,pages/view.aspx?publish_date=20121029
12-296638,Search,100 block of Cathcart Ave,1113,pages/view.aspx?publish_date=20121029
12-296611,Subject Stop,3200 block of Marysville Blvd,1027,pages/view.aspx?publish_date=20121029
12-296810,Sex Assault Report,3400 block of Colchester Avenue,1531,pages/view.aspx?publish_date=20121029
12-297247,Subject Stop,400 block of Harding Ave,413,pages/view.aspx?publish_date=20121029
12-296799,Robbery,5100 block of Argo Way,1515,pages/view.aspx?publish_date=20121029
12-297061,Traffic Stop,Stockton Blvd / Lawrence Dr,2152,pages/view.aspx?publish_date=20121029
12-296637,Burglary,7900 block of Marla Way,1111,pages/view.aspx?publish_date=20121029
12-296622,Found Property,30th St / 51st Ave,1044,pages/view.aspx?publish_date=20121029
12-297180,Theft,6600 block of Bruceville Rd,39,pages/view.aspx?publish_date=20121029
12-297118,Suspicious Circumstance,100 block of Moses Ct,2248,pages/view.aspx?publish_date=20121029
12-297596,Domestic Violence,1200 block of Santa Anna Ave,1507,pages/view.aspx?publish_date=20121030
12-297621,Burglary,1600 block of Glenrose Ave,1536,pages/view.aspx?publish_date=20121030
12-297585,Indecent Exposure,5900 block of  Bridgecross Dr,1503,pages/view.aspx?publish_date=20121030
12-296761,Suspicious Subject,1900 block of 24th St,1424,pages/view.aspx?publish_date=20121030
12-297462,Suspicious Circumstance,900 block of I St,1155,pages/view.aspx?publish_date=20121030
12-297699,Medical Aid,7th St / K St,1654,pages/view.aspx?publish_date=20121030
12-297385,Domestic Violence,1800 block of 16th Ave,1015,pages/view.aspx?publish_date=20121030
12-297709,Assault,6800 block of 24th St,1659,pages/view.aspx?publish_date=20121030
12-297555,Sexual Assault,7300 block of Gloria Dr,1403,pages/view.aspx?publish_date=20121030
12-299560,Burglary,2300 block of Oak Harbor Drive,1644,pages/view.aspx?publish_date=20121101
12-299254,Burglary,1200 block of Old West Drive,1052,pages/view.aspx?publish_date=20121101
12-299409,Robbery,3500 block of Northgate Blvd,1358,pages/view.aspx?publish_date=20121101
12-299797,Robbery,3600 block of North Freeway Boulevard,2152,pages/view.aspx?publish_date=20121101
12-299731,Child Abuse,2600 block of Truxel Road,2044,pages/view.aspx?publish_date=20121101
12-299485,Domestic Violence,8100 block of Folsom Boulevard,1515,pages/view.aspx?publish_date=20121101
12-299975,DUI,Folsom Blvd / Howe Ave,150,pages/view.aspx?publish_date=20121101
12-299925,Arrest,F St / 14th St,30,pages/view.aspx?publish_date=20121101
12-299629,Prowling,8000 block of La Riviera Drive,1812,pages/view.aspx?publish_date=20121101
12-299940,Pursuit,Florin Rd / Luther Dr,54,pages/view.aspx?publish_date=20121101
12-299612,Child Endangerment,2700 block of San Fernando Way,1750,pages/view.aspx?publish_date=20121101
12-299862,Assault,100 block of Seavey Circle,2305,pages/view.aspx?publish_date=20121101
12-300994,Pursuit,El Monte Ave / Grove Ave,157,pages/view.aspx?publish_date=20121102
12-300906,Arrest,3700 block of Northgate Blvd,2327,pages/view.aspx?publish_date=20121102
12-300063,Missing Person,7800 block of La Riviera Drive,727,pages/view.aspx?publish_date=20121102
12-300138,Metal Theft,Bercut Dr / Richards Blvd,910,pages/view.aspx?publish_date=20121102
12-300246,Medical Aid,6200 block of Elder Creek Road,1100,pages/view.aspx?publish_date=20121102
12-300309,Burglary in Progress,3600 block of 33rd St,1222,pages/view.aspx?publish_date=20121102
12-300729,Assault,600 block of 10th St,1942,pages/view.aspx?publish_date=20121102
12-300429,Missing Person,600 block of I St,1441,pages/view.aspx?publish_date=20121102
12-300932,Burglary,1900 block of 19th Street,20,pages/view.aspx?publish_date=20121102
12-300276,Medical Aid,100 block of Bushwood court,1131,pages/view.aspx?publish_date=20121102
12-300580,Arrest,6100 block of Freeport Boulevard,1717,pages/view.aspx?publish_date=20121102
12-300475,Indecent Exposure,2100 block of 15th Ave,1534,pages/view.aspx?publish_date=20121102
